,type,entry_price,entry_time,exit_price,exit_time,points,pnl
0,long,5085.10009765625,2007-10-08,5705.2998046875,2008-01-18,620.19970703125,31009.9853515625
1,long,5111.7001953125,2008-04-25,4835.2998046875,2008-05-29,-276.400390625,-13820.01953125
2,long,4476.7998046875,2008-07-23,4072.89990234375,2008-09-15,-403.89990234375,-20194.9951171875
3,long,2939.89990234375,2009-03-23,4003.89990234375,2009-07-10,1064.0,53200.0
4,long,4502.25,2009-07-20,4826.14990234375,2009-10-28,323.89990234375,16194.9951171875
5,long,5103.5498046875,2009-11-23,5036.0,2010-01-22,-67.5498046875,-3377.490234375
6,long,5088.10009765625,2010-03-03,5124.89990234375,2010-05-05,36.7998046875,1839.990234375
7,long,5274.85009765625,2010-06-17,5890.2998046875,2010-11-19,615.44970703125,30772.4853515625
8,long,6101.85009765625,2010-12-30,5762.85009765625,2011-01-10,-339.0,-16950.0
9,long,5654.25,2011-03-25,5565.25,2011-05-03,-89.0,-4450.0
10,long,5600.4501953125,2011-06-29,5404.7998046875,2011-08-03,-195.650390625,-9782.51953125
11,long,5360.7001953125,2011-10-28,4934.75,2011-11-17,-425.9501953125,-21297.509765625
12,long,4967.2998046875,2012-01-17,5086.85009765625,2012-05-04,119.55029296875,5977.5146484375
13,long,5115.89990234375,2012-06-12,5043.0,2012-07-26,-72.89990234375,-3644.9951171875
14,long,5336.7001953125,2012-08-07,5903.5,2013-02-08,566.7998046875,28339.990234375
15,long,5834.39990234375,2013-04-22,5788.7998046875,2013-06-11,-45.60009765625,-2280.0048828125
16,long,6009.0,2013-07-12,5755.0498046875,2013-07-30,-253.9501953125,-12697.509765625
17,long,5896.75,2013-09-10,6126.25,2014-01-28,229.5,11475.0
18,long,6276.9501953125,2014-02-28,7842.7001953125,2014-10-08,1565.75,78287.5
19,long,8090.4501953125,2014-10-29,8224.099609375,2014-12-12,133.6494140625,6682.470703125
20,long,8494.150390625,2015-01-15,8542.9501953125,2015-03-24,48.7998046875,2439.990234375
21,long,8834.0,2015-04-13,8448.099609375,2015-04-20,-385.900390625,-19295.01953125
22,long,8398.0,2015-06-25,7809.0,2015-08-24,-589.0,-29450.0
23,long,8177.39990234375,2015-10-07,7955.4501953125,2015-11-05,-221.94970703125,-11097.4853515625
24,long,7531.7998046875,2016-03-09,8573.349609375,2016-10-13,1041.5498046875,52077.490234375
25,long,8380.650390625,2017-01-11,9710.7998046875,2017-08-11,1330.1494140625,66507.470703125
26,long,10093.0498046875,2017-09-12,9735.75,2017-09-27,-357.2998046875,-17864.990234375
27,long,10096.400390625,2017-10-12,10121.7998046875,2017-12-01,25.3994140625,1269.970703125
28,long,10463.2001953125,2017-12-19,10498.25,2018-02-06,35.0498046875,1752.490234375
29,long,10528.349609375,2018-04-16,10430.349609375,2018-05-23,-98.0,-4900.0
30,long,10842.849609375,2018-06-12,11143.099609375,2018-09-21,300.25,15012.5
31,long,10858.7001953125,2018-11-29,10640.9501953125,2019-02-18,-217.75,-10887.5
32,long,10987.4501953125,2019-03-05,11359.4501953125,2019-05-08,372.0,18600.0
33,long,11828.25,2019-05-20,11558.599609375,2019-07-08,-269.650390625,-13482.51953125
34,long,11600.2001953125,2019-09-23,11962.099609375,2020-01-31,361.8994140625,18094.970703125
35,long,9826.150390625,2020-06-01,11131.849609375,2020-09-23,1305.69921875,65284.9609375
36,long,11662.400390625,2020-10-06,13634.599609375,2021-01-29,1972.19921875,98609.9609375
37,long,14647.849609375,2021-02-02,14324.900390625,2021-03-25,-322.94921875,-16147.4609375
38,long,15108.099609375,2021-05-18,17416.55078125,2021-11-22,2308.451171875,115422.55859375
39,long,17805.25,2022-01-04,17149.099609375,2022-01-24,-656.150390625,-32807.51953125
40,long,17670.44921875,2022-04-01,16677.599609375,2022-05-04,-992.849609375,-49642.48046875
41,long,16340.5498046875,2022-07-19,17016.30078125,2022-09-26,675.7509765625,33787.548828125
42,long,17730.75,2022-10-24,17806.80078125,2022-12-23,76.05078125,3802.5390625
